Stream,Reach,Site,Year,Size,Length Break (mm),Marked Pass 1,Caught Pass 2,Recaptured Pass 2,Capture Efficiency,Site Pop Estimate,Site Variance,Site SE,Site CI Low,Site CI High,Sample Site Length (m),Fish per Meter,Reach Length (m),Reach Expansion Factor,Reach Pop Estimate,Reach Variance,Reach CI 95%,Reach CI High,Reach CI Low,Precision,Stream Pop Estimate,Stream Variance,Stream CI 95%,Stream CI High,Stream CI Low
Antoine Creek,Antoine 16-1,OBMEP-551,2021,short,100,28,29,19,0.679,43,9.321,3.053,36.516,48.484,130,0.327,1507,11.592,493,1252.628,69.369,562.042,423.304,0.072,493,1252.628,69.369,562.042,423.304
Antoine Creek,Antoine 16-1,OBMEP-551,2021,long,100,6,4,3,0.5,8,1.313,1.146,5.505,9.995,130,0.06,1507,11.592,90,176.376,26.03,115.87,63.81,0.148,298,3921.709,122.742,420.943,175.459
Antoine Creek,Antoine 16-3,OBMEP-2103,2021,short,100,0,0,0,0,0,0,0,0,0,168,0,2968,17.667,0,0,0,0,0,0,493,1252.628,69.369,562.042,423.304
Antoine Creek,Antoine 16-3,OBMEP-2103,2021,long,100,3,1,0,0,7,12,3.464,0.21,13.79,168,0.042,2968,17.667,124,3745.333,119.95,243.617,3.716,0.495,298,3921.709,122.742,420.943,175.459
Antoine Creek,Antoine 16-5,OBMEP-1608,2021,short,100,0,0,0,0,0,0,0,0,0,121,0,2562,21.174,0,0,0,0,0,0,493,1252.628,69.369,562.042,423.304
Antoine Creek,Antoine 16-5,OBMEP-1608,2021,long,100,4,3,3,0.75,4,0,0,4,4,121,0.033,2562,21.174,85,0,0,84.694,84.694,0,298,3921.709,122.742,420.943,175.459
Antoine Creek (Upper),,OBMEP-2101,2021,long,80,48,60,30,0.625,95,52.486,7.245,81.22,109.619,90,1.06,4000,44.444,4241,103676.726,631.098,4871.958,3609.762,0.076,12930,427179.676,1281.036,14210.596,11648.524
Antoine Creek (Upper),,OBMEP-2101,2021,short,80,39,25,7,0.179,129,1040,32.249,65.792,192.208,90,1.433,4000,44.444,5733,2054320.988,2809.249,8542.582,2924.084,0.25,16152,9733614.616,6114.953,22266.708,10036.801
Antoine Creek (Upper),,OBMEP-2102,2021,long,80,58,51,33,0.569,89,34.123,5.841,77.786,100.685,76,1.174,7400,97.368,8689,323502.95,1114.795,9803.495,7573.904,0.065,12930,427179.676,1281.036,14210.596,11648.524
Antoine Creek (Upper),,OBMEP-2102,2021,short,80,26,27,6,0.231,107,810,28.46,51.217,162.783,76,1.408,7400,97.368,10418,7679293.629,5431.462,15849.883,4986.96,0.266,16152,9733614.616,6114.953,22266.708,10036.801
Bonaparte Creek,Bonaparte 16-1,OBMEP-388,2017,long,95,21,19,11,0.524,36,18.803,4.336,27.168,44.166,145,0.246,1776,12.248,437,2820.894,104.1,540.955,332.755,0.122,437,2820.894,104.1,540.955,332.755
Bonaparte Creek,Bonaparte 16-1,OBMEP-388,2017,short,95,8,5,2,0.25,17,27,5.196,6.816,27.184,145,0.117,1776,12.248,208,4050.547,124.742,332.963,83.479,0.306,208,4050.547,124.742,332.963,83.479
Bonaparte Creek,Bonaparte 16-1,OBMEP-388,2018,long,105,24,19,16,0.667,28,2.307,1.519,25.435,31.389,145,0.196,1776,12.248,348,346.067,36.462,384.457,311.533,0.053,348,346.067,36.462,384.457,311.533
Bonaparte Creek,Bonaparte 16-1,OBMEP-388,2018,short,105,33,33,20,0.606,54,20.136,4.487,45.252,62.843,145,0.373,1776,12.248,662,3020.878,107.727,769.717,554.264,0.083,662,3020.878,107.727,769.717,554.264
Bonaparte Creek,Bonaparte 16-1,OBMEP-388,2019,short,105,47,46,8,0.17,250,4127.644,64.247,123.743,375.59,142,1.758,1776,12.507,3123,645671.347,1574.932,4697.524,1547.659,0.257,3123,645671.347,1574.932,4697.524,1547.659
Bonaparte Creek,Bonaparte 16-1,OBMEP-388,2019,long,105,27,17,11,0.407,41,25.846,5.084,31.036,50.964,142,0.289,1776,12.507,513,4043.013,124.626,637.415,388.163,0.124,513,4043.013,124.626,637.415,388.163
Bonaparte Creek,Bonaparte 16-1,OBMEP-388,2020,short,95,37,28,18,0.486,57,29,5.385,46.445,67.555,151,0.377,1776,11.762,670,4011.715,124.143,794.553,546.268,0.094,670,4011.715,124.143,794.553,546.268
Bonaparte Creek,Bonaparte 16-1,OBMEP-388,2020,long,95,82,77,58,0.707,109,14.135,3.76,101.36,116.098,151,0.72,1776,11.762,1279,1955.304,86.669,1365.493,1192.155,0.035,1279,1955.304,86.669,1365.493,1192.155
Bonaparte Creek,Bonaparte 16-1,OBMEP-388,2021,short,95,134,107,53,0.396,269,397.636,19.941,229.916,308.084,150,1.793,1776,11.84,3185,55742.892,462.755,3647.715,2722.205,0.074,3185,55742.892,462.755,3647.715,2722.205
Bonaparte Creek,Bonaparte 16-1,OBMEP-388,2021,long,95,23,28,14,0.609,45,24.36,4.936,35.726,55.074,150,0.303,1776,11.84,538,3414.921,114.537,652.073,422.999,0.109,538,3414.921,114.537,652.073,422.999
Loup Loup Creek,Loup Loup 16-1,OBMEP-421,2017,long,95,31,28,18,0.581,48,16.709,4.088,39.83,55.854,95,0.504,1250,13.158,630,2892.857,105.419,734.921,524.082,0.085,2680,20370.143,279.739,2960.075,2400.597
Loup Loup Creek,Loup Loup 16-1,OBMEP-421,2017,short,95,19,8,5,0.263,29,30,5.477,18.265,39.735,95,0.305,1250,13.158,382,5193.906,141.255,522.834,240.324,0.189,728,8523.864,180.957,909.373,547.46
Loup Loup Creek,Loup Loup 16-1,OBMEP-421,2018,short,105,36,33,18,0.5,65,47.044,6.859,51.767,78.654,95,0.686,1250,13.158,858,8144.792,176.887,1034.92,681.146,0.105,1862,30607.465,342.902,2204.673,1518.869
Loup Loup Creek,Loup Loup 16-1,OBMEP-421,2018,long,105,12,8,4,0.333,22,24.96,4.996,12.608,32.192,95,0.236,1250,13.158,295,4321.33,128.844,423.581,165.893,0.223,1288,10136.444,197.333,1485.37,1090.705
Loup Loup Creek,Loup Loup 16-1,OBMEP-421,2019,long,105,16,21,9,0.563,36,28.56,5.344,25.925,46.875,137,0.266,1250,9.124,332,2377.591,95.571,427.687,236.546,0.147,601,3054.49,108.324,709.106,492.458
Loup Loup Creek,Loup Loup 16-1,OBMEP-421,2019,short,105,82,91,49,0.598,152,83.008,9.111,133.863,169.577,137,1.107,1250,9.124,1384,6910.315,162.931,1547.238,1221.375,0.06,4992,29684.438,337.692,5329.239,4653.856
Loup Loup Creek,Loup Loup 16-1,OBMEP-421,2020,short,100,36,25,13,0.361,68,90.31,9.503,49.088,86.34,84,0.806,1250,14.881,1008,19998.539,277.176,1284.829,730.477,0.14,4839,41069.583,397.206,5236.019,4441.607
Loup Loup Creek,Loup Loup 16-1,OBMEP-421,2020,long,100,27,23,18,0.667,34,4.188,2.047,30.357,38.38,84,0.409,1250,14.881,511,927.483,59.691,571.126,451.744,0.06,1681,1913.22,85.731,1767.105,1595.643
Loup Loup Creek,Loup Loup 16-1,OBMEP-421,2021,short,115,108,110,69,0.639,172,55.609,7.457,157.227,186.459,150,1.146,1250,8.333,1432,3861.722,121.8,1553.824,1310.224,0.043,6435,63884.004,495.396,6930.713,5939.921
Loup Loup Creek,Loup Loup 16-1,OBMEP-421,2021,long,115,12,12,9,0.75,16,1.383,1.176,13.595,18.205,150,0.106,1250,8.333,133,96.023,19.206,151.706,113.294,0.074,1223,797.698,55.357,1277.883,1167.168
Loup Loup Creek,Loup Loup 16-2,OBMEP-1222,2017,short,95,15,13,6,0.4,31,36,6,19.24,42.76,140,0.221,1250,8.929,277,2869.898,105,381.786,171.786,0.194,728,8523.864,180.957,909.373,547.46
Loup Loup Creek,Loup Loup 16-2,OBMEP-1222,2017,long,95,60,61,28,0.467,129,158.295,12.582,104.754,154.074,140,0.924,1250,8.929,1155,12619.209,220.177,1375.657,935.303,0.097,2680,20370.143,279.739,2960.075,2400.597
Loup Loup Creek,Loup Loup 16-2,OBMEP-1222,2018,short,105,19,24,8,0.421,55,108.642,10.423,34.126,74.985,140,0.39,1250,8.929,487,8660.872,182.405,669.508,304.698,0.191,1862,30607.465,342.902,2204.673,1518.869
Loup Loup Creek,Loup Loup 16-2,OBMEP-1222,2018,long,105,17,13,9,0.529,24,7.331,2.708,18.893,29.507,140,0.173,1250,8.929,216,584.416,47.382,263.454,168.689,0.112,1288,10136.444,197.333,1485.37,1090.705
Loup Loup Creek,Loup Loup 16-2,OBMEP-1222,2019,long,105,1,0,0,0,1,0,0,1,1,106,0.009,1250,11.792,12,0,0,11.792,11.792,0,601,3054.49,108.324,709.106,492.458
Loup Loup Creek,Loup Loup 16-2,OBMEP-1222,2019,short,105,75,79,46,0.613,128,54.876,7.408,113.842,142.881,106,1.211,1250,11.792,1514,7631.095,171.218,1684.917,1342.481,0.058,4992,29684.438,337.692,5329.239,4653.856
Loup Loup Creek,Loup Loup 16-2,OBMEP-1222,2020,short,100,80,66,37,0.463,142,120.17,10.962,120.33,163.302,108,1.313,1250,11.574,1641,16097.817,248.679,1890.066,1392.707,0.077,4839,41069.583,397.206,5236.019,4441.607
Loup Loup Creek,Loup Loup 16-2,OBMEP-1222,2020,long,100,8,8,7,0.875,9,0.141,0.375,8.39,9.86,108,0.084,1250,11.574,106,18.838,8.507,114.12,97.106,0.041,1681,1913.22,85.731,1767.105,1595.643
