SpeciesId	StatArea.CU	CU_Name	Year	T_Idx_E	ExpFactor1	AdjSum	ExpFactor2	ObsE	ExpFactor3	TE	CDN.Harvest	CDN.ER	TRTC	Total.Harvest	Total.ER	Total.Run	Q1	Q2	Q3
SH	985	East Vancouver Island Summer	1959																
SH	985	East Vancouver Island Summer	1960																
SH	985	East Vancouver Island Summer	1961																
SH	985	East Vancouver Island Summer	1962																
SH	985	East Vancouver Island Summer	1963																
SH	985	East Vancouver Island Summer	1964																
SH	985	East Vancouver Island Summer	1965																
SH	985	East Vancouver Island Summer	1966																
SH	985	East Vancouver Island Summer	1967																
SH	985	East Vancouver Island Summer	1968																
SH	985	East Vancouver Island Summer	1969																
SH	985	East Vancouver Island Summer	1970																
SH	985	East Vancouver Island Summer	1971																
SH	985	East Vancouver Island Summer	1972																
SH	985	East Vancouver Island Summer	1973																
SH	985	East Vancouver Island Summer	1974																
SH	985	East Vancouver Island Summer	1975																
SH	985	East Vancouver Island Summer	1976							144									
SH	985	East Vancouver Island Summer	1977							127									
SH	985	East Vancouver Island Summer	1978							40									
SH	985	East Vancouver Island Summer	1979							180									
SH	985	East Vancouver Island Summer	1980							103									
SH	985	East Vancouver Island Summer	1981							201									
SH	985	East Vancouver Island Summer	1982							170									
SH	985	East Vancouver Island Summer	1983							193									
SH	985	East Vancouver Island Summer	1984							216									
SH	985	East Vancouver Island Summer	1985							417									
SH	985	East Vancouver Island Summer	1986							301									
SH	985	East Vancouver Island Summer	1987							406									
SH	985	East Vancouver Island Summer	1988							324									
SH	985	East Vancouver Island Summer	1989							392									
SH	985	East Vancouver Island Summer	1990							277									
SH	985	East Vancouver Island Summer	1991							337									
SH	985	East Vancouver Island Summer	1992							266									
SH	985	East Vancouver Island Summer	1993							202									
SH	985	East Vancouver Island Summer	1994							230									
SH	985	East Vancouver Island Summer	1995							149									
SH	985	East Vancouver Island Summer	1996							100									
SH	985	East Vancouver Island Summer	1997							187									
SH	985	East Vancouver Island Summer	1998							164									
SH	985	East Vancouver Island Summer	1999							44									
SH	985	East Vancouver Island Summer	2000							104									
SH	985	East Vancouver Island Summer	2001							119									
SH	985	East Vancouver Island Summer	2002							129									
SH	985	East Vancouver Island Summer	2003							73									
SH	985	East Vancouver Island Summer	2004							67									
SH	985	East Vancouver Island Summer	2005							63									
SH	985	East Vancouver Island Summer	2006							139									
SH	985	East Vancouver Island Summer	2007							103									
SH	985	East Vancouver Island Summer	2008							194									
SH	985	East Vancouver Island Summer	2009							253									
SH	985	East Vancouver Island Summer	2010							199									
SH	985	East Vancouver Island Summer	2011							242									
SH	985	East Vancouver Island Summer	2012							269									
SH	985	East Vancouver Island Summer	2013							75									
SH	985	East Vancouver Island Summer	2014							231									
SH	985	East Vancouver Island Summer	2015							122									
SH	985	East Vancouver Island Summer	2016							214									
SH	985	East Vancouver Island Summer	2017							141									
SH	985	East Vancouver Island Summer	2018							64									
SH	985	East Vancouver Island Summer	2019																
SH	985	East Vancouver Island Summer	2020																
SH	985	East Vancouver Island Summer	2021																
SH	980	South Coast Winter	1950																
SH	980	South Coast Winter	1951																
SH	980	South Coast Winter	1952																
SH	980	South Coast Winter	1953																
SH	980	South Coast Winter	1954																
SH	980	South Coast Winter	1955																
SH	980	South Coast Winter	1956																
SH	980	South Coast Winter	1957																
SH	980	South Coast Winter	1958																
SH	980	South Coast Winter	1959																
SH	980	South Coast Winter	1960																
SH	980	South Coast Winter	1961																
SH	980	South Coast Winter	1962																
SH	980	South Coast Winter	1963																
SH	980	South Coast Winter	1964																
SH	980	South Coast Winter	1965																
SH	980	South Coast Winter	1966																
SH	980	South Coast Winter	1967																
SH	980	South Coast Winter	1968																
SH	980	South Coast Winter	1969																
SH	980	South Coast Winter	1970																
SH	980	South Coast Winter	1971																
SH	980	South Coast Winter	1972																
SH	980	South Coast Winter	1973																
SH	980	South Coast Winter	1974																
SH	980	South Coast Winter	1975																
SH	980	South Coast Winter	1976																
SH	980	South Coast Winter	1977																
SH	980	South Coast Winter	1978																
SH	980	South Coast Winter	1979																
SH	980	South Coast Winter	1980																
SH	980	South Coast Winter	1981																
