SpeciesId	StatArea.CU	CU_Name	BroodYear	Escape	TR2	TR3	TR4	TR5	TR6	TR7	Total	Total.ER	Age2	Age3	Age4	Age5	Age6	Age7
SEL	SEL-01-001	Osoyoos	1994	1977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1995	4581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1996	17035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1997	11996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1998	3708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1999	5648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2000	29243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2001	41922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2002	4898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2003	17753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2004	41571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2005	31536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2006	20819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2007	13504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2008	127602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2009	64141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2010	209974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
